#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#LIST OF NCBI TRANSCRIPTS ASSOCIATED WITH IMMUNITY IN APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2) WITH GENE AND PROTEIN IDS, AND "CLASS" (CANON/NONCANON)
#CANONICAL IMMUNITY DETERMINED FROM EVANS ET AL 2006, NCBI BIOSYSTEMS PATHWAY RESOURCES AND USE OF OTHODB
#CANDIDATE NON-CANONICAL IMMUNITY BASED UPON THE COMBINED WORKS OF ALAUX ET AL 2011, RICHARD ET AL 2012 AND DOUBLET ET AL 2017.
TranscriptID	GeneID	ProteinID	Class
XM_001120854.4	LOC724953	XP_001120854.3	NonCanon
XM_001120855.5	LOC724954	XP_001120855.2	NonCanon
XM_001120892.5	LOC726721	XP_001120892.1	Canon
XM_001120897.5	LOC724995	XP_001120897.2	NonCanon
XM_001120925.5	LOC725023	XP_001120925.1	NonCanon
XM_001120975.5	LOC725086	XP_001120975.1	NonCanon
XM_001121022.5	LOC725138	XP_001121022.1	NonCanon
XM_001121043.5	LOC725165	XP_001121043.2	NonCanon
XM_001121079.5	LOC725204	XP_001121079.2	NonCanon
XM_001121092.5	LOC725216	XP_001121092.2	NonCanon
XM_001121113.5	LOC725240	XP_001121113.1	NonCanon
XM_001121133.5	LOC725261	XP_001121133.2	NonCanon
XM_001121135.5	LOC725263	XP_001121135.1	Canon
XM_001121144.4	LOC726894	XP_001121144.1	NonCanon
XM_001121180.4	LOC725320	XP_001121180.1	NonCanon
XM_001121190.5	LOC725330	XP_001121190.3	NonCanon
XM_001121223.5	LOC725363	XP_001121223.1	NonCanon
XM_001121229.5	LOC725368	XP_001121229.2	Canon
XM_001121319.5	LOC725477	XP_001121319.3	NonCanon
XM_001121320.5	LOC725478	XP_001121320.1	NonCanon
XM_001121333.5	LOC725496	XP_001121333.2	NonCanon
XM_001121418.5	LOC725592	XP_001121418.2	NonCanon
XM_001121462.4	LOC725633	XP_001121462.1	NonCanon
XM_001121483.5	LOC725661	XP_001121483.3	Canon
XM_001121503.5	LOC725686	XP_001121503.2	NonCanon
XM_001121505.5	LOC725688	XP_001121505.2	Canon
XM_001121507.5	LOC725690	XP_001121507.2	NonCanon
XM_001121513.5	LOC725696	XP_001121513.2	NonCanon
XM_001121522.4	LOC725705	XP_001121522.1	NonCanon
XM_001121565.5	LOC725756	XP_001121565.2	Canon
XM_001121575.5	LOC725766	XP_001121575.2	Canon
XM_001121634.5	LOC725832	XP_001121634.3	Canon
XM_001121637.5	LOC725835	XP_001121637.3	NonCanon
XM_001121690.4	LOC725896	XP_001121690.3	NonCanon
XM_001121709.5	LOC725922	XP_001121709.2	NonCanon
XM_001121733.5	LOC725947	XP_001121733.1	NonCanon
XM_001121783.5	LOC726002	XP_001121783.2	Canon
XM_001121814.5	LOC726040	XP_001121814.2	NonCanon
XM_001121815.5	LOC726041	XP_001121815.3	NonCanon
XM_001121862.5	LOC726095	XP_001121862.1	NonCanon
XM_001121879.5	LOC726113	XP_001121879.1	NonCanon
XM_001121893.5	LOC726131	XP_001121893.2	NonCanon
XM_001121924.4	LOC726164	XP_001121924.1	NonCanon
XM_001122008.5	LOC726253	XP_001122008.1	NonCanon
XM_001122051.5	LOC726303	XP_001122051.1	NonCanon
XM_001122067.5	LOC726320	XP_001122067.3	Canon
XM_001122155.5	LOC726418	XP_001122155.2	NonCanon
XM_001122230.5	LOC726498	XP_001122230.1	NonCanon
XM_001122306.5	LOC726579	XP_001122306.2	NonCanon
XM_001122336.5	LOC726611	XP_001122336.3	NonCanon
XM_001122360.5	LOC726637	XP_001122360.3	Canon
XM_001122385.5	LOC726664	XP_001122385.3	NonCanon
XM_001122387.5	LOC726666	XP_001122387.2	NonCanon
XM_001122458.5	LOC726737	XP_001122458.2	NonCanon
XM_001122463.5	LOC726742	XP_001122463.2	NonCanon
XM_001122467.5	LOC726747	XP_001122467.1	NonCanon
XM_001122470.5	LOC726750	XP_001122470.3	NonCanon
XM_001122474.5	LOC726754	XP_001122474.2	NonCanon
XM_001122532.5	LOC726811	XP_001122532.3	NonCanon
XM_001122533.5	LOC726812	XP_001122533.3	NonCanon
XM_001122558.5	LOC726840	XP_001122558.1	NonCanon
XM_001122585.5	LOC726869	XP_001122585.3	NonCanon
XM_001122615.5	LOC726898	XP_001122615.2	NonCanon
XM_001122616.5	LOC726899	XP_001122616.1	Canon
XM_001122640.5	LOC726923	XP_001122640.1	NonCanon
XM_001122675.5	LOC726958	XP_001122675.2	Canon
XM_001122713.5	LOC726999	XP_001122713.2	NonCanon
XM_001122738.5	LOC727025	XP_001122738.2	NonCanon
XM_001122739.5	LOC727026	XP_001122739.1	NonCanon
XM_001122740.5	LOC727027	XP_001122740.5	NonCanon
XM_001122830.4	LOC727116	XP_001122830.2	NonCanon
XM_001122836.5	LOC727122	XP_001122836.3	NonCanon
XM_001122896.5	LOC727186	XP_001122896.1	NonCanon
XM_001122939.5	LOC727229	XP_001122939.2	NonCanon
XM_001122961.5	LOC727251	XP_001122961.3	NonCanon
XM_001123012.5	LOC727303	XP_001123012.2	NonCanon
XM_001123067.5	LOC727358	XP_001123067.2	NonCanon
XM_001123128.5	LOC727420	XP_001123128.1	NonCanon
XM_001123179.5	LOC727471	XP_001123179.2	NonCanon
XM_001123248.5	LOC727539	XP_001123248.2	NonCanon
XM_001123277.5	LOC727568	XP_001123277.1	NonCanon
XM_001123340.5	LOC727634	XP_001123340.2	Canon
XM_003249105.4	LOC100576457	XP_003249153.1	NonCanon
XM_003249121.4	LOC552686	XP_003249169.1	NonCanon
XM_003249183.4	LOC411980	XP_003249231.1	Canon
XM_003249211.4	LOC100578725	XP_003249259.2	NonCanon
XM_003249269.4	LOC100576527	XP_003249317.1	Canon
XM_003249336.4	LOC100578307	XP_003249384.1	NonCanon
XM_003249365.4	LOC100576801	XP_003249413.2	NonCanon
XM_003249371.4	LOC551425	XP_003249419.1	NonCanon
XM_003249375.4	LOC100578697	XP_003249423.2	NonCanon
XM_003249382.4	LOC724286	XP_003249430.1	NonCanon
XM_003249398.4	LOC100578537	XP_003249446.3	Canon
XM_003249399.2	LOC100578624	XP_003249447.1	NonCanon
XM_003249407.4	LOC100577707	XP_003249455.1	NonCanon
XM_003249411.3	LOC724366	XP_003249459.1	NonCanon
XM_003249415.4	LOC727237	XP_003249463.1	NonCanon
XM_003249429.3	LOC726205	XP_003249477.1	NonCanon
XM_003249455.4	LOC100578921	XP_003249503.1	NonCanon
XM_003249528.4	LOC100578235	XP_003249576.2	NonCanon
XM_003249545.4	LOC100578560	XP_003249593.1	NonCanon
XM_003249547.4	LOC724542	XP_003249595.1	NonCanon
XM_003249622.4	LOC725753	XP_003249670.1	NonCanon
XM_003249623.4	LOC100576555	XP_003249671.1	NonCanon
XM_003249637.3	LOC408426	XP_003249685.1	Canon
XM_003249835.4	LOC725439	XP_003249883.2	NonCanon
XM_003249858.4	LOC408391	XP_003249906.1	Canon
XM_003249866.4	LOC725178	XP_003249914.1	Canon
XM_003249867.4	LOC726197	XP_003249915.1	Canon
XM_003249869.4	LOC552235	XP_003249917.1	NonCanon
XM_003249929.4	LOC409019	XP_003249977.1	NonCanon
XM_003249961.3	LOC100578215	XP_003250009.1	NonCanon
XM_003250054.3	LOC100578433	XP_003250102.3	NonCanon
XM_003250059.4	LOC100578875	XP_003250107.2	NonCanon
XM_003250068.4	LOC725816	XP_003250116.1	NonCanon
XM_003250119.4	LOC726016	XP_003250167.2	NonCanon
XM_003250120.4	LOC725880	XP_003250168.1	NonCanon
XM_003250121.4	LOC409427	XP_003250169.1	NonCanon
XM_003250168.4	LOC100576814	XP_003250216.1	NonCanon
XM_003250175.4	LOC100578277	XP_003250223.1	NonCanon
XM_003250213.4	LOC100576411	XP_003250261.1	NonCanon
XM_003250250.3	LOC100577841	XP_003250298.1	NonCanon
XM_003250303.4	LOC411915	XP_003250351.1	Canon
XM_003250339.4	LOC551815	XP_003250387.2	NonCanon
XM_003250384.4	LOC552536	XP_003250432.3	NonCanon
XM_003250402.4	LOC100576960	XP_003250450.1	NonCanon
XM_003250422.4	LOC550885	XP_003250470.1	NonCanon
XM_003250503.4	LOC100576195	XP_003250551.1	NonCanon
XM_003250541.4	LOC100578168	XP_003250589.1	NonCanon
XM_003250619.4	LOC100577156	XP_003250667.2	NonCanon
