Gene	Class	Gene_Desc	SocOrigin	count	Function.x	Function.y	Function
LOC551290	Canon	 cathepsin O 	Halictid, Nova	2	Lysosome	Lysosome	Lysosome
LOC551500	Canon	 phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform 	Meli	1	Autophagy	Autophagy	Autophagy
LOC551517	Canon	 beta-TrCP 	Meli	1	Toll_IMD	Toll_IMD	Toll_IMD
LOC551554	Canon	 ras-related protein Rac1 	Meli	1	Phagosome	Phagosome	Phagosome
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Toll_IMD	Toll_IMD	Toll_IMD
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Toll_IMD	Toll_IMD	Humoral
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Toll_IMD	Humoral	Toll_IMD
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Toll_IMD	Humoral	Humoral
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Humoral	Toll_IMD	Toll_IMD
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Humoral	Toll_IMD	Humoral
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Humoral	Humoral	Toll_IMD
LOC551608	Canon	 serine/threonine-protein kinase pelle 	Meli	1	Humoral	Humoral	Humoral
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC551668	Canon	 regulatory-associated protein of mTOR 	Habro, Mega	2	Autophagy	Autophagy	Autophagy
LOC552091	Canon	 group XV phospholipase A2 	Halictid	1	Lysosome	Lysosome	Lysosome
LOC552138	Canon	 Mig-2-like GTPase Mtl 	Meli	1	Phagosome	Phagosome	Phagosome
LOC552249	Canon	 lysosomal alpha-mannosidase 	Habro, Nova	2	Lysosome	Lysosome	Lysosome
LOC552249	Canon	 lysosomal alpha-mannosidase 	Halictid	1	Lysosome	Lysosome	Lysosome
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	AllComplex, Meli	2	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552315	Canon	 ubiquitin-like-conjugating enzyme ATG3 	Habro	1	Autophagy	Autophagy	Autophagy
LOC552520	Canon	 AP-3 complex subunit mu-1 	Habro	1	Lysosome	Lysosome	Lysosome
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552571	Canon	 serine/threonine-protein kinase unc-51 	Nova	1	Autophagy	Autophagy	Autophagy
LOC552721	Canon	 CD63 antigen 	Meli	1	Lysosome	Lysosome	Lysosome
LOC725111	Canon	 piwi-like protein Ago3 	Habro	1	RNAi	RNAi	RNAi
LOC725368	Canon	 probable serine/threonine-protein kinase DDB_G0283337 	Meli	1	Humoral	Humoral	Humoral
LOC725512	Canon	 RISC-loading complex subunit TARBP2 	Habro	1	RNAi	RNAi	RNAi
LOC725571	Canon	 protein transport protein Sec61 subunit alpha 	Meli	1	Phagosome	Phagosome	Phagosome
LOC725756	Canon	 beta-galactosidase 	Meli	1	Lysosome	Lysosome	Lysosome
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	Humoral	JAKSTAT	JAKSTAT
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	Humoral	JAKSTAT	Humoral
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	Humoral	Humoral	JAKSTAT
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	Humoral	Humoral	Humoral
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	JAKSTAT	JAKSTAT	JAKSTAT
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	JAKSTAT	JAKSTAT	Humoral
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	JAKSTAT	Humoral	JAKSTAT
LOC726002	Canon	 tyrosine-protein kinase hopscotch 	Habro	1	JAKSTAT	Humoral	Humoral
