Desc	Family ID	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
null	ORTHOMCL120	2	1	4	6	4	1	4	1	1	1	6
null	ORTHOMCL121	3	2	3	3	3	2	3	2	3	4	3
null	ORTHOMCL122	1	1	5	7	1	2	4	7	1	1	1
null	ORTHOMCL123	3	3	3	3	3	3	3	3	1	3	3
null	ORTHOMCL124	7	1	5	1	2	1	2	7	1	1	3
null	ORTHOMCL125	3	3	3	3	2	3	3	3	2	3	3
null	ORTHOMCL126	1	1	1	1	4	3	10	1	1	1	7
null	ORTHOMCL127	2	2	3	2	3	2	3	3	4	2	5
null	ORTHOMCL128	3	1	3	3	3	3	3	3	3	3	3
null	ORTHOMCL129	3	3	3	3	3	3	3	3	3	3	1
null	ORTHOMCL130	2	2	5	2	2	3	3	3	3	3	3
null	ORTHOMCL131	1	1	7	7	1	1	2	1	1	1	8
null	ORTHOMCL132	4	2	4	3	2	3	2	2	3	1	4
null	ORTHOMCL133	6	2	2	3	2	2	4	2	3	2	2
null	ORTHOMCL134	1	1	6	10	2	1	2	1	1	1	4
null	ORTHOMCL135	3	2	3	3	3	3	3	3	2	3	2
null	ORTHOMCL136	3	2	5	4	3	2	3	2	1	2	3
null	ORTHOMCL137	2	2	6	2	5	2	3	2	2	2	2
null	ORTHOMCL138	4	2	5	5	2	2	2	2	2	2	2
null	ORTHOMCL139	1	1	2	5	4	2	2	2	2	2	7
null	ORTHOMCL140	1	1	5	11	1	2	3	1	1	1	3
null	ORTHOMCL141	2	2	3	2	2	2	4	7	1	2	3
null	ORTHOMCL142	1	1	4	2	2	2	3	3	4	5	3
null	ORTHOMCL143	2	2	3	2	3	3	2	3	1	2	7
null	ORTHOMCL144	1	1	7	12	1	1	1	1	1	1	3
null	ORTHOMCL145	1	1	5	3	6	1	5	1	2	2	2
null	ORTHOMCL146	3	2	3	3	3	3	3	2	2	2	3
null	ORTHOMCL147	3	1	6	5	3	2	1	2	2	2	2
null	ORTHOMCL148	3	3	3	3	3	1	3	2	3	2	3
null	ORTHOMCL149	3	1	4	4	2	2	3	3	1	1	5
null	ORTHOMCL150	4	1	1	8	3	1	1	1	1	1	7
null	ORTHOMCL151	3	2	3	3	2	3	3	2	1	4	3
null	ORTHOMCL152	2	2	3	3	3	2	4	3	2	2	3
null	ORTHOMCL153	2	3	3	3	4	4	0	3	1	3	3
null	ORTHOMCL154	1	1	6	6	1	1	5	4	1	1	2
null	ORTHOMCL155	3	3	3	3	3	3	3	2	1	2	3
null	ORTHOMCL156	3	3	3	3	3	2	2	1	3	3	3
null	ORTHOMCL157	2	2	2	3	2	2	1	2	1	2	10
null	ORTHOMCL158	2	3	3	3	2	2	3	4	2	3	2
null	ORTHOMCL159	2	1	1	3	3	2	3	2	4	4	4
null	ORTHOMCL160	1	2	3	2	6	2	4	2	1	2	4
null	ORTHOMCL161	2	1	2	3	4	1	10	1	1	1	3
null	ORTHOMCL162	1	1	7	12	2	1	1	1	1	1	1
null	ORTHOMCL163	2	2	3	3	5	2	3	2	1	2	4
null	ORTHOMCL164	1	1	9	9	1	3	1	1	1	1	1
null	ORTHOMCL165	2	3	4	3	5	2	3	0	2	1	3
null	ORTHOMCL166	3	2	2	2	4	2	2	4	2	2	3
null	ORTHOMCL167	6	1	4	3	1	2	3	1	2	2	3
null	ORTHOMCL168	2	2	2	2	5	2	2	2	2	4	3
null	ORTHOMCL169	3	2	3	4	2	2	2	3	2	2	3
