GOterm	Canon_input	NonCan_input	Hym_Noncan	Solitary_Imm	Social_Imm	Complex_Imm	Solitary_Random	Social_Random	Complex_Random
GO:0070050	0	0	0	0	0	0	0	0	0
GO:0070887	0	0	0	0	0	0	0	0	0
GO:0071702	0	0	0	0	0	0	0	0	0
GO:0071705	0	0	0	0	0	0	0	0	0
GO:0071840	0	0	0	0	0	0	0	0	0
GO:0072503	0	0	0	0	0	0	0	0	0
GO:0072507	0	0	0	0	0	0	0	0	0
GO:0080090	0	0	0	0	0	0	0	0	0
GO:0090559	0	0	0	0	0	0	0	0	0
GO:0097479	0	0	0	0	0	0	0	0	0
GO:0097480	0	0	0	0	0	0	0	0	0
GO:0098656	0	0	0	0	0	0	0	0	0
GO:0098771	0	0	0	0	0	0	0	0	0
GO:0098916	0	0	0	0	1	0	0	0	0
GO:0099003	0	0	0	0	0	0	0	1	0
GO:0099516	0	0	0	0	0	0	0	0	0
GO:0099536	0	0	0	0	1	0	0	0	0
GO:0099537	0	0	0	0	1	0	0	0	0
GO:1900371	0	0	0	0	0	0	0	0	0
GO:1900373	0	0	0	0	0	0	0	0	0
GO:1900542	0	0	0	0	0	0	0	0	0
GO:1900544	0	0	0	0	0	0	0	0	0
GO:1901264	0	0	0	0	0	0	1	0	0
GO:1901505	0	0	0	0	0	0	0	0	0
GO:1901679	0	0	0	0	0	0	0	0	0
GO:1903578	0	0	0	0	0	0	0	0	0
GO:1903580	0	0	0	0	0	0	0	0	0
GO:2001169	0	0	0	0	0	0	0	0	0
GO:2001171	0	0	0	0	0	0	0	0	0
GO:0003824	0	0	0	0	0	1	0	0	0
GO:0005576	0	0	1	1	0	0	0	0	0
GO:0007320	0	0	0	0	0	0	0	0	0
GO:0007610	0	0	0	0	0	0	0	0	0
GO:0007617	0	0	0	0	0	0	0	0	0
GO:0007618	0	0	0	0	0	0	0	0	0
GO:0007619	0	0	0	0	1	0	0	0	0
GO:0007620	0	0	0	0	0	0	0	0	0
GO:0008152	0	0	0	0	0	0	0	0	0
GO:0009056	1	0	0	0	0	0	0	0	0
GO:0009058	0	0	0	0	1	0	0	0	0
GO:0010817	0	0	0	0	0	0	0	0	1
GO:0016787	0	0	0	0	0	0	0	0	0
GO:0016788	0	0	0	0	0	1	0	0	0
GO:0019098	0	0	0	0	0	0	0	0	0
GO:0019748	0	0	0	0	0	0	0	0	0
GO:0030728	0	0	1	0	0	0	0	0	0
GO:0034338	0	1	1	0	0	0	0	0	0
GO:0042445	0	0	0	0	0	0	0	0	0
GO:0042446	0	1	0	0	0	0	0	0	0
GO:0042810	0	0	0	0	0	0	0	0	0
GO:0042811	0	1	1	0	0	0	0	0	0
GO:0044237	0	0	0	0	0	0	0	0	0
GO:0044249	0	0	0	0	0	0	0	0	0
GO:0044550	0	0	0	0	0	0	0	0	0
GO:0044706	0	0	0	0	0	0	0	0	0
GO:0045924	0	0	0	1	0	0	0	0	0
GO:0046008	0	1	1	0	0	0	0	0	0
GO:0046662	0	0	1	0	0	0	0	0	0
GO:0046692	0	0	0	0	0	0	0	0	0
GO:0046693	0	0	1	0	0	0	0	0	1
GO:0050795	0	0	0	0	0	0	0	0	0
GO:0051239	0	0	0	0	0	0	0	0	0
GO:0052689	0	1	0	0	0	0	0	0	0
GO:0060180	0	0	0	0	0	0	0	0	0
GO:0071704	0	0	0	0	0	0	0	0	0
GO:1901575	0	0	0	0	0	0	0	0	0
GO:2000241	0	0	0	0	0	1	0	0	0
GO:0000122	0	0	0	0	1	0	0	1	0
GO:0003008	0	0	0	0	0	0	0	0	0
GO:0004888	0	0	0	0	0	0	0	0	0
GO:0004930	0	0	0	0	0	0	0	0	1
GO:0004989	0	0	0	0	0	0	0	0	0
GO:0004993	0	0	0	0	0	0	0	0	0
GO:0005488	0	0	0	0	0	0	0	0	1
GO:0005886	0	0	0	0	0	0	0	0	1
GO:0005887	0	0	0	0	0	0	0	0	1
GO:0006355	0	0	0	0	0	0	0	1	1
GO:0006357	0	0	0	0	0	0	0	1	0
GO:0007165	0	0	0	0	0	0	0	0	1
GO:0007186	0	0	0	0	0	0	0	0	0
GO:0007187	0	0	0	0	0	0	0	0	1
GO:0007188	0	0	0	0	0	0	0	0	1
GO:0007193	0	0	0	0	0	0	0	0	1
GO:0007198	0	0	0	0	0	0	0	0	0
GO:0007200	0	0	0	0	0	0	0	0	0
GO:0007204	0	0	0	0	0	0	0	0	0
GO:0007210	0	0	0	0	0	0	0	0	0
GO:0007211	0	0	0	0	0	0	0	0	0
GO:0007611	0	0	0	0	0	0	0	0	1
GO:0007612	0	0	0	0	0	0	0	1	0
GO:0008049	0	0	0	0	1	1	0	0	0
GO:0008227	0	0	0	0	0	0	0	0	0
GO:0009605	0	0	0	0	0	0	0	0	0
GO:0009890	0	0	0	0	0	0	0	0	0
GO:0009991	0	0	0	0	0	0	0	0	0
GO:0010468	0	0	0	0	0	0	0	1	1
GO:0010556	0	0	0	0	0	0	0	1	0
GO:0010558	0	0	0	0	0	0	0	0	1
GO:0010604	0	0	0	0	0	0	0	0	0
GO:0010605	0	0	0	0	0	0	0	0	0
GO:0010629	0	0	0	0	0	0	0	0	0
GO:0010840	0	0	0	0	0	0	0	0	0
GO:0010841	0	0	0	0	0	0	0	0	0
GO:0010952	0	0	0	0	0	0	0	0	0
GO:0030162	0	0	0	0	0	0	0	0	0
GO:0030594	0	0	0	0	0	0	0	0	1
GO:0031226	0	0	0	0	0	0	0	0	1
GO:0031327	0	0	0	0	0	0	0	0	0
GO:0031644	0	0	0	0	0	0	0	0	0
GO:0031667	0	0	0	0	0	0	0	0	0
GO:0032268	0	0	0	0	0	0	0	0	0
GO:0032270	0	0	0	0	0	0	1	0	0
GO:0035176	0	0	0	0	0	0	0	0	0
GO:0038023	0	0	0	0	0	0	0	0	0
GO:0042165	0	0	0	0	0	0	0	0	1
GO:0042594	1	0	0	0	0	0	0	0	0
GO:0042749	0	0	0	0	0	0	0	0	0
GO:0042752	0	0	0	0	0	0	0	0	0
GO:0042753	0	0	0	0	0	0	0	0	0
GO:0043085	0	0	0	0	0	0	0	0	0
GO:0043167	0	0	0	0	0	0	0	0	0
GO:0043169	0	0	0	0	0	0	0	0	0
GO:0043176	0	0	0	0	0	0	0	0	0
GO:0043900	1	0	0	0	0	0	0	0	0
GO:0043902	0	0	0	0	0	0	0	0	0
GO:0044057	0	0	0	0	0	0	0	0	0
GO:0044093	0	0	0	0	0	0	0	0	0
GO:0044459	0	0	0	0	0	0	0	0	0
GO:0045862	0	0	0	0	0	0	1	0	0
GO:0045892	0	0	0	0	1	0	0	0	0
GO:0045934	0	0	0	0	0	0	0	0	0
GO:0048520	0	0	0	0	0	0	0	0	0
GO:0048583	0	0	0	0	0	0	0	0	0
GO:0050790	0	0	0	0	0	0	0	0	0
GO:0050877	0	0	0	0	0	0	0	0	0
GO:0050890	0	0	0	0	0	0	0	0	1
GO:0051172	0	0	0	0	0	0	0	0	0
GO:0051240	0	0	0	0	0	0	0	0	0
GO:0051246	0	0	0	0	0	0	0	0	0
GO:0051247	0	0	0	0	0	0	0	0	0
GO:0051252	0	0	0	0	0	0	1	1	0
GO:0051253	0	0	0	0	0	0	0	0	0
GO:0051336	0	0	0	0	0	0	0	0	0
GO:0051345	0	0	0	0	0	0	0	0	0
GO:0051378	0	0	0	0	0	0	0	0	0
GO:0051482	0	0	0	0	0	0	0	0	0
GO:0051703	0	0	0	0	0	0	0	0	0
GO:0051705	0	0	0	0	0	0	0	0	0
